Теодора,Ѳеѡ́дора,1,189,,,мати,грчко,сложено/феминитив,слава,дар Бога
Нинка,Нинка,1,190,09.08.1802,10.08.1802,кћи,грузијско,деминутив/посвојено,календарско,?
Ана,Анна,1,190,,,мати,јеврејско,библијско,благодарно,милост
Стефанија,Стефанія,1,191,12.08.1802,14.08.1802,кћи,грчко,изведено/феминитив,слава,венац/венчана
Стоја,Стоя,1,191,,,мати,српско,изведено,оптатив,стајати/стојати
Василија,Васілія,1,192,,,мати,грчко,самотворно,слава,краљица
Ђервасија,Ћервасія,1,193,,,мати,немачко,сложено,слава,копљеносица
Симеуна,Симеуна,1,194,,,мати,јеврејско,феминитив,слава,бог је чуо
Сара,Са́ра,1,195,,,мати,јеврејско,библијско,слава,кнегиња
Макрена,Макрена,1,196,24.08.1802,31.08.1802,кћи,грчко,изведено,слава,далека
Пелагија,Пелагія,1,196,,,мати,грчко,изведено,слава,морска
Наста,Наста,1,197,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Јованка,Іо́анка,1,198,05.09.1802,08.09.1802,кћи,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Стоја,Стоя,1,198,,,мати,српско,изведено,оптатив,стајати/стојати
Марта,Марѳа,1,199,,,мати,јеврејско,посвојено,слава,госпођа
Аксентија,А҆́ѯентія,1,200,21.10.1802,23.10.1802,кћи,грчко,изведено/феминитив,слава,увећавајућа
Сара,Сарра,1,200,,,мати,јеврејско,библијско,слава,кнегиња
Јованка,Іѡванка,1,201,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Ружа,Рꙋжа,1,202,,,мати,српско,самотворно,фитоним,назив цвета
Макрена,Макрена,1,203,05.12.1802,06.12.1802,кћи,грчко,изведено,слава,далека
Василија,Васіліа,1,203,,,мати,грчко,самотворно,слава,краљица
Мара,Мара,1,204,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Рава,Рава,1,205,,,мати,српско,деминутив,митологија,< Равијојла
Ђервасија,Ћервасія,1,206,14.12.1802,17.12.1802,кћи,немачко,сложено,слава,копљеносица
Јела,Е҆́ла,1,206,,,мати,грчко,посвојено/деминутив,слава,топлина сунчеве светлости
Савка,Савка,1,207,,,мати,јеврејско,посвојено/изведено/феминитив,профилактичко,старица
Јованка,Йѡванка,1,208,27.12.1802,28.12.1802,кћи,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Милица,Міліца,1,208,,,мати,српско,изведено,слава,мила
Рава,Равва,1,209,10.01.1803,11.01.1803,кћи,српско,деминутив,митологија,< Равијојла
Неда,Неда,1,209,,,мати,српско,изведено/деминутив,свето,недеља
Симеуна,Сімеуна,1,210,,,мати,јеврејско,феминитив,слава,бог је чуо
Ђула,Ћꙋлла,1,211,08.02.1803,11.02.1803,кћи,грчко,посвојено/деминутив,свето,< Георгије
Јованка,Іѡанка,1,211,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Теодора,Ѳеѡ́дора,1,212,13.02.1803,14.02.1803,кћи,грчко,сложено/феминитив,слава,дар Бога
Наста,Наста,1,212,,,мати,грчко,посвојено/деминутив,слава,васкрсла
Макрена,Макрена,1,213,16.02.1803,18.02.1803,кћи,грчко,изведено,слава,далека
Марта,Марта,1,213,,,мати,јеврејско,посвојено,слава,госпођа
Јека,Е҆́кка́,1,214,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Станојка,Станойка,1,215,,,мати,српско,изведено/феминитив,оптатив/профилактичко,стајати
Гата,Гата́,1,216,,,мати,грчко,посвојено/деминутив,слава,добра/блага < Агата
Јела,Е҆́ла,1,217,,,мати,грчко,посвојено/деминутив,слава,топлина сунчеве светлости
Јела,Е҆́лла,1,218,21.06.1803,23.06.1803,кћи,грчко,посвојено/деминутив,слава,топлина сунчеве светлости
Марта,Марта,1,218,,,мати,јеврејско,посвојено,слава,госпођа
Јелисавета,Е҆́лисавета,1,219,29.06.1803,30.06.1803,кћи,јеврејско,библијско,теофорно/слава,бог је заклетва
Мара,Мара,1,219,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Јулијана,Йꙋліяна,1,220,10.07.1803,13.07.1803,кћи,латинско,изведено/феминитив,слава/племићко,римско породично име
Милинка,Милинка,1,220,,,мати,српско,изведено,слава,< Мила/милина
Манда,Манда,1,221,,,мати,грчко,посвојено/деминутив,свето,< Магдалина
Теодора,Ѳеѡ́до́ра,1,222,,,мати,грчко,сложено/феминитив,слава,дар Бога
Јека,Е҆́ка́,1,223,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Петра,Петра,1,224,,,мати,грчко,феминитив,оптатив,стена
Маја,Маія,1,224,,,кума,јеврејско,посвојено/деминутив,слава,< Мариј
Живана,Живана,1,225,13.08.1803,16.08.1803,кћи,српско,изведено,профилактичко,живот
Пелагија,Пелагія,1,225,,,мати,грчко,изведено,слава,морска
Стана,Стана,1,226,01.09.1803,04.09.1803,кћи,српско,изведено,оптатив/профилактичко,стајати
Василија,Васїлія,1,226,,,мати,грчко,самотворно,слава,краљица
Стана,Стана,1,227,01.09.1803,04.09.1803,кћи,српско,изведено,оптатив/профилактичко,стајати
Василија,Васїлія,1,227,,,мати,грчко,самотворно,слава,краљица
Латинка,Латинка,1,228,,,мати,латинско,феминитив,етноним,латинка
Ђервасија,Ћервасїя,1,229,10.10.1803,12.10.1803,кћи,немачко,сложено,слава,копљеносица
Јованка,Іоанка,1,229,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Ана,Анна,1,230,13.11.1803,15.11.1803,кћи,јеврејско,библијско,благодарно,милост
Сара,Сара,1,230,,,мати,јеврејско,библијско,слава,кнегиња
Ђула,Ћꙋла,1,231,,,мати,грчко,посвојено/деминутив,свето,< Георгије
Јованка,Іоанка,1,232,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Јека,Е҆́ка́,1,233,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Јованка,Іѡ҆́анка,1,234,05.02.1804,07.02.1804,кћи,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Марица,Марица,1,234,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Сола,Сола,1,235,,,мати,јеврејско/грчко,деминутив,слава,< Соломија/господарица/< Софија
Сара,Сарра,1,236,,,мати,јеврејско,библијско,слава,кнегиња
Василија,Васілія,1,237,11.02.1804,15.02.1804,кћи,грчко,самотворно,слава,краљица
Ана,А҆нна,1,237,,,мати,јеврејско,библијско,благодарно,милост
Божана,Божана,1,238,14.02.1804,15.02.1804,кћи,српско,изведено,слава,< бог
Милица,Милица,1,238,,,мати,српско,изведено,слава,< мила/милост
Мара,Мара́,1,239,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Макрена,Макре́на,1,240,17.02.1804,19.02.1804,кћи,грчко,изведено,слава,далека
Софија,Софія,1,240,,,мати,грчко,самотворно,слава,мудрост
Теодора,Ѳеѡ́дора,1,241,,,мати,грчко,сложено/феминитив,слава,дар Бога
Живана,Живана,1,241,,,мати,српско,изведено,профилактичко,живот
Стана,Станна,1,242,,,мати,српско,изведено,оптатив/профилактичко,стајати
Стоја,Стоя,1,243,,,мати,српско,изведено,оптатив,стајати/стојати
Јованка,Іѡ҆́анка,1,244,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Василија,Васілія,1,245,03.03.1804,05.03.1804,кћи,грчко,самотворно,слава,краљица
Ђервасија,Ћервасія,1,245,,,мати,немачко,сложено,слава,копљеносица
Василија,Васи́лія,1,246,06.03.1804,08.03.1804,кћи,грчко,самотворно,слава,краљица
Марта,Марта,1,246,,,мати,јеврејско,посвојено,слава,госпођа
Агатија,Агатія,1,247,08.03.1804,08.03.1804,кћи,грчко,изведено,описни придев,добра/блага
Мара,Марра́,1,247,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Стефанија,Стефанія,1,247,,,кума,грчко,изведено/феминитив,слава,венац/венчана
Јека,Е҆́ка́,1,248,,,мати,грчко,деминутив,благодарно,топлина сунчеве светлости
Сара,Сарра,1,249,,,мати,јеврејско,библијско,слава,кнегиња
Мара,Мара́,1,250,09.03.1804,09.03.1804,кћи,јеврејско,посвојено/деминутив,слава,< Марија
Ана,А҆́нна,1,250,,,мати,јеврејско,библијско,благодарно,милост
Стана,Стана,1,250,,,кума,српско,изведено,оптатив/профилактичко,стајати
Анђа,А҆́нћа,1,251,,,мати,грчко,посвојено/деминутив,слава,анђео
Персида,Персида,1,252,10.03.1804,13.03.1804,кћи,грчко,етноним,описни придев,персијанка
Рокса,Роѯа,1,252,,,мати,грчко,деминутив,оптатив,источно име (жена Александра Великог)
Јованка,Іѡ҆́ванка,1,253,,,мати,јеврејско,посвојено/изведено/феминитив,благодарно,милост Бога
Стана,Станна́,1,254,,,кума,српско,изведено,оптатив/профилактичко,стајати
Алексија,А҆́леѯия,1,255,01.04.1804,03.04.1804,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Тода,Ѳодда,1,255,,,мати,грчко,сложено/феминитив/деминутив,слава,дар бога < Теодора < Тодора
Алексија,А҆́леѯи́я,1,256,08.04.1804,10.04.1804,кћи,грчко,изведено/феминитив,профилактичко/слава,заштитница/бранитељка
Мара,Марра́,1,256,,,мати,јеврејско,посвојено/деминутив,слава,< Марија
Ђервасија,Ћервасія,1,257,08.04.1804,10.04.1804,кћи,немачко,сложено,слава,копљеносица
Сола,Сола,1,257,,,мати,јеврејско/грчко,деминутив,слава,< Соломија/господарица/< Софија
